Transaction ID,Item_Cake,Item_Coffee,Item_Cookie,Item_Juice,Item_Salad,Item_Sandwich,Item_Smoothie,Item_Tea,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Digital Wallet,Transaction Date,Location_encoded,Quantity_scaled,Price Per Unit_scaled,Total Spent_scaled
TXN_1961373,0,1,0,0,0,0,0,0,0,1,0,2023-09-08,1,0.25,0.25,0.125
TXN_4977031,1,0,0,0,0,0,0,0,1,0,0,2023-05-16,0,0.75,0.5,0.4583333333333333
TXN_4271903,0,0,1,0,0,0,0,0,0,1,0,2023-07-19,0,0.75,0.0,0.125
TXN_7034554,0,0,0,0,1,0,0,0,0,1,0,2023-04-27,0,0.25,1.0,0.375
TXN_3160411,0,1,0,0,0,0,0,0,0,0,1,2023-06-11,0,0.25,0.25,0.125
TXN_2602893,0,0,0,0,0,0,1,0,0,1,0,2023-03-31,1,1.0,0.75,0.7916666666666666
TXN_4433211,0,0,0,1,0,0,0,0,1,0,0,2023-10-06,1,0.5,0.5,0.3333333333333333
TXN_6699534,0,0,0,0,0,1,0,0,1,0,0,2023-10-28,0,0.75,0.75,0.625
TXN_4717867,0,0,0,1,0,0,0,0,1,0,0,2023-07-28,1,1.0,0.5,0.5833333333333333
TXN_2064365,0,0,0,0,0,1,0,0,0,1,0,2023-12-31,0,1.0,0.75,0.7916666666666666
TXN_2548360,0,0,0,0,1,0,0,0,1,0,0,2023-11-07,1,1.0,1.0,1.0
TXN_3051279,0,0,0,0,0,1,0,0,0,1,0,2023-08-13,1,0.25,0.75,0.29166666666666663
TXN_7619095,0,0,0,0,0,1,0,0,1,0,0,2023-05-03,0,0.25,0.75,0.29166666666666663
TXN_9437049,0,0,1,0,0,0,0,0,1,0,0,2023-06-01,1,1.0,0.0,0.16666666666666666
TXN_8915701,0,0,0,0,0,0,0,1,0,0,1,2023-03-21,0,0.25,0.125,0.08333333333333333
TXN_2847255,0,0,0,0,1,0,0,0,0,1,0,2023-11-15,0,0.5,1.0,0.5833333333333333
TXN_3765707,0,0,0,0,0,1,0,0,1,0,0,2023-06-10,0,0.0,0.75,0.125
TXN_6769710,0,0,0,1,0,0,0,0,1,0,0,2023-02-24,0,0.25,0.5,0.20833333333333331
TXN_8876618,1,0,0,0,0,0,0,0,1,0,0,2023-03-25,1,1.0,0.5,0.5833333333333333
TXN_3709394,0,0,0,1,0,0,0,0,1,0,0,2023-01-15,1,0.75,0.5,0.4583333333333333
TXN_3522028,0,0,0,0,0,0,1,0,1,0,0,2023-04-04,0,1.0,0.75,0.7916666666666666
TXN_3567645,0,0,0,0,0,0,1,0,0,1,0,2023-03-30,1,0.75,0.75,0.625
TXN_5132361,0,0,0,0,0,1,0,0,0,0,1,2023-12-01,1,0.5,0.75,0.4583333333333333
TXN_2616390,0,0,0,0,0,1,0,0,0,0,1,2023-09-18,0,0.25,0.75,0.29166666666666663
TXN_9400181,0,0,0,0,0,1,0,0,1,0,0,2023-06-03,0,1.0,0.75,0.7916666666666666
TXN_7958992,0,0,0,0,0,0,1,0,0,1,0,2023-12-13,0,0.5,0.75,0.4583333333333333
TXN_5183041,0,0,1,0,0,0,0,0,0,1,0,2023-04-20,0,1.0,0.0,0.16666666666666666
TXN_5695074,0,0,0,1,0,0,0,0,0,1,0,2023-04-10,1,0.75,0.5,0.4583333333333333
TXN_8467949,0,0,0,0,0,0,1,0,0,1,0,2023-03-11,0,1.0,0.75,0.7916666666666666
TXN_7640952,1,0,0,0,0,0,0,0,0,0,1,2023-10-04,1,0.75,0.5,0.4583333333333333
TXN_1736287,0,1,0,0,0,0,0,0,0,0,1,2023-06-02,0,1.0,0.25,0.375
TXN_8927252,0,0,1,0,0,0,0,0,0,1,0,2023-11-06,0,0.25,0.0,0.041666666666666664
TXN_9677376,0,0,0,0,0,0,1,0,1,0,0,2023-08-15,0,0.75,0.75,0.625
TXN_7710508,0,0,1,0,0,0,0,0,1,0,0,2023-03-14,0,1.0,0.0,0.16666666666666666
TXN_8853997,0,0,0,0,0,0,1,0,0,0,1,2023-10-09,1,0.25,0.75,0.29166666666666663
TXN_9130559,0,0,0,0,0,1,0,0,0,1,0,2023-05-28,0,0.0,0.75,0.125
TXN_6855453,1,0,0,0,0,0,0,0,0,0,1,2023-07-17,0,0.75,0.5,0.4583333333333333
TXN_1080432,0,0,0,0,1,0,0,0,0,1,0,2023-04-29,0,0.25,1.0,0.375
TXN_2655815,0,0,0,0,0,0,1,0,0,1,0,2023-06-08,1,0.75,0.75,0.625
TXN_6688524,0,1,0,0,0,0,0,0,1,0,0,2023-06-29,1,0.75,0.25,0.29166666666666663
TXN_2083138,0,0,0,0,0,0,1,0,1,0,0,2023-04-17,0,0.5,0.75,0.4583333333333333
TXN_2427584,0,0,0,0,0,1,0,0,0,0,1,2023-12-22,1,0.75,0.75,0.625
TXN_6650263,0,0,0,0,0,0,0,1,1,0,0,2023-01-10,1,0.25,0.125,0.08333333333333333
TXN_9620080,0,0,0,1,0,0,0,0,0,1,0,2023-10-02,1,0.75,0.5,0.4583333333333333
TXN_1491578,0,0,1,0,0,0,0,0,1,0,0,2023-02-23,1,0.25,0.0,0.041666666666666664
TXN_5455792,0,0,0,0,1,0,0,0,1,0,0,2023-03-22,0,0.5,1.0,0.5833333333333333
TXN_8078640,0,0,0,1,0,0,0,0,0,0,1,2023-11-03,0,0.75,0.5,0.4583333333333333
TXN_9499313,0,0,0,1,0,0,0,0,0,0,1,2023-03-02,1,1.0,0.5,0.5833333333333333
TXN_8201146,0,0,0,1,0,0,0,0,1,0,0,2023-06-26,1,1.0,0.5,0.5833333333333333
TXN_8230936,1,0,0,0,0,0,0,0,0,0,1,2023-05-02,0,0.5,0.5,0.3333333333333333
TXN_7742742,1,0,0,0,0,0,0,0,0,1,0,2023-09-05,1,1.0,0.5,0.5833333333333333
TXN_6342161,0,0,0,0,1,0,0,0,0,0,1,2023-01-08,1,1.0,1.0,1.0
TXN_8914892,0,0,0,0,1,0,0,0,0,0,1,2023-03-15,1,1.0,1.0,1.0
TXN_3363746,0,0,0,0,0,0,1,0,0,1,0,2023-11-25,1,0.5,0.75,0.4583333333333333
TXN_8614868,0,0,0,0,0,0,1,0,0,0,1,2023-12-05,1,1.0,0.75,0.7916666666666666
TXN_5522862,0,0,1,0,0,0,0,0,0,1,0,2023-03-19,1,0.25,0.0,0.041666666666666664
TXN_3578141,1,0,0,0,0,0,0,0,1,0,0,2023-06-27,1,1.0,0.5,0.5833333333333333
